Airline,Airline_encoded,Source,Source_encoded,Destination,Destination_encoded,Date,Month,Year,Hour,Minute,Price
IndiGo,3,Banglore,0,Delhi,2,24,3,2019,22,20,3897
Air India,1,Kolkata,3,Banglore,0,1,5,2019,5,50,7662
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,9,25,13882
IndiGo,3,Kolkata,3,Banglore,0,12,5,2019,18,5,6218
IndiGo,3,Banglore,0,Delhi,2,1,3,2019,16,50,13302
SpiceJet,8,Kolkata,3,Banglore,0,24,6,2019,9,0,3873
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,18,55,11087
Jet Airways,4,Banglore,0,Delhi,2,1,3,2019,8,0,22270
Jet Airways,4,Banglore,0,Delhi,2,12,3,2019,8,55,11087
Multiple carriers,6,Delhi,2,Cochin,1,27,5,2019,11,25,8625
Air India,1,Delhi,2,Cochin,1,1,6,2019,9,45,8907
IndiGo,3,Kolkata,3,Banglore,0,18,4,2019,20,20,4174
Air India,1,Chennai,1,Kolkata,4,24,6,2019,11,40,4667
Jet Airways,4,Kolkata,3,Banglore,0,9,5,2019,21,10,9663
IndiGo,3,Kolkata,3,Banglore,0,24,4,2019,17,15,4804
Air India,1,Delhi,2,Cochin,1,3,3,2019,16,40,14011
SpiceJet,8,Delhi,2,Cochin,1,15,4,2019,8,45,5830
Jet Airways,4,Delhi,2,Cochin,1,12,6,2019,14,0,10262
Air India,1,Delhi,2,Cochin,1,12,6,2019,20,15,13381
Jet Airways,4,Delhi,2,Cochin,1,27,5,2019,16,0,12898
GoAir,2,Delhi,2,Cochin,1,6,3,2019,14,10,19495
Air India,1,Banglore,0,Delhi,2,21,3,2019,22,0,6955
IndiGo,3,Banglore,0,Delhi,2,3,4,2019,4,0,3943
IndiGo,3,Banglore,0,Delhi,2,1,5,2019,18,55,4823
Jet Airways,4,Kolkata,3,Banglore,0,6,5,2019,18,55,7757
Jet Airways,4,Delhi,2,Cochin,1,9,6,2019,21,25,13292
IndiGo,3,Delhi,2,Cochin,1,1,6,2019,21,50,8238
GoAir,2,Delhi,2,Cochin,1,15,5,2019,7,0,7682
Vistara,10,Banglore,0,Delhi,2,18,6,2019,9,45,4668
Vistara,10,Chennai,1,Kolkata,4,15,6,2019,7,5,3687
Vistara,10,Chennai,1,Kolkata,4,18,6,2019,7,5,3687
Air India,1,Kolkata,3,Banglore,0,1,5,2019,9,50,13227
IndiGo,3,Banglore,0,Delhi,2,6,4,2019,4,0,4423
Jet Airways,4,Delhi,2,Cochin,1,15,6,2019,14,35,10919
Jet Airways,4,Delhi,2,Cochin,1,18,5,2019,7,5,12373
IndiGo,3,Delhi,2,Cochin,1,27,6,2019,10,35,5894
SpiceJet,8,Kolkata,3,Banglore,0,21,5,2019,15,5,4649
